"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"147","David Bell",CLE,"at PIT","-","F","0.5","-0.5","40% (6/15)","0%","N/A"
"148","Derius Davis",LAC,"at TEN","-","F","0.5","-","-","0%","N/A"
"149","Ray-Ray McCloud III",SF,"at LAR","-","F","0.5","+1.0","18% (2/11)","0%","N/A"
"150","Trent Taylor",CHI,"at TB","-","F","0.5","-0.8","10% (1/10)","0%","N/A"
"151","Malik Heath",GB,"at ATL","-","F","0.4","-2.6","0% (0/1)","0%","N/A"
"152","Juwann Winfree",IND,"at HOU","-","F","0.4","-2.5","0% (0/5)","0%","N/A"
"153","Jake Bobo",SEA,"at DET","-","F","0.4","-","-","0%","N/A"
"154","Keith Kirkwood",NO,"at CAR","-","F","0.4","-1.6","0% (0/2)","24%","Bad"
"155","Cedrick Wilson Jr.",MIA,"at NE","-","F","0.4","-2.0","14% (2/14)","0%","N/A"
"156","Ronnie Bell",SF,"at LAR","-","F","0.3","-","-","0%","N/A"
"157","Brandon Powell",MIN,"at PHI","-","F","0.3","-0.8","20% (3/15)","0%","N/A"
"158","Charlie Jones",CIN,"vs. BAL","-","F","0.3","-0.7","0% (0/1)","0%","N/A"
"159","Kristian Wilkerson",LV,"at BUF","-","F","0.3","-","-","0%","N/A"
"160","A.T. Perry",NO,"at CAR","-","F","0.3","-","-","0%","N/A"
"161","Jamison Crowder",WAS,"at DEN","-","F","0.3","-3.1","0% (0/4)","0%","N/A"
"162","Tim Jones",JAC,"vs. KC","-","F","0.2","-0.8","14% (1/7)","0%","N/A"
"163","Ihmir Smith-Marsette",CAR,"vs. NO","-","F","0.2","-1.1","0% (0/6)","0%","N/A"
"164","Andrei Iosivas",CIN,"vs. BAL","-","F","0.2","-","-","0%","N/A"
"165","Lawrence Cager",NYG,"at ARI","-","F","0.2","-","-","0%","N/A"
"166","Velus Jones Jr.",CHI,"at TB","-","F","0.2","-0.5","33% (3/9)","0%","N/A"
"167","Gunner Olszewski",PIT,"vs. CLE","-","F","0.2","-0.7","9% (1/11)","0%","N/A"
"168","Kearis Jackson",TEN,"vs. LAC","-","F","0.2","-","-","0%","N/A"
"169","Xavier Gipson",NYJ,"at DAL","-","F","0.2","-","-","0%","N/A"
"170","Antoine Green",DET,"vs. SEA","-","F","0.2","-","-","0%","N/A"
"171","Kirk Merritt",NO,"at CAR","-","F","0.2","-","-","0%","N/A"
"172","Byron Pringle",WAS,"at DEN","-","F","0.2","-0.4","30% (3/10)","0%","N/A"
"173","Tre Tucker",LV,"at BUF","-","F","0.2","-","-","0%","N/A"
"174","Equanimeous St. Brown",CHI,"at TB","-","F","0.2","-0.9","35% (5/14)","0%","N/A"
"175","Cody Thompson",SEA,"at DET","-","F","0.2","-","-","0%","N/A"
"176","Jalen Brooks",DAL,"vs. NYJ","-","F","0.0","-","-","0%","N/A"
"177","Jason Brownlee",NYJ,"at DAL","-","F","0.0","-","-","0%","N/A"
