"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"486","John Brown","JAX, DEN","WR","4","11","3","0.27","6.7%","0.00","5","45.5%","1.7%","2","0.40","3.0%","0.00","6","54.5%","2.6%","1","0.17","3.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"487","Jermar Jefferson","DET","RB","5","11","5","0.45","6.5%","2.09","3","27.3%","1.0%","0","0.00","1.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","8","72.7%","6.9%","5","0.63","4.7%","2.88"
"488","Derek Watt","PIT","FB","16","10","3","0.30","1.5%","1.50","1","10.0%","0.1%","0","0.00","0.2%","0.00","1","10.0%","0.1%","0","0.00","0.2%","0.00","5","50.0%","1.1%","2","0.40","0.8%","2.40","3","30.0%","0.8%","1","0.33","0.5%","1.00"
"489","Kevin Rader","PIT","TE","6","10","3","0.30","4.0%","0.80","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","10","100.0%","5.8%","3","0.30","4.0%","0.80","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"490","Scottie Phillips","HST","RB","2","10","3","0.30","10.4%","0.90","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","10","100.0%","14.9%","3","0.30","10.4%","0.90"
"491","Kylin Hill","GB","RB","8","10","2","0.20","3.4%","0.50","2","20.0%","0.4%","0","0.00","0.7%","0.00","2","20.0%","0.5%","0","0.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","60.0%","4.1%","2","0.33","2.1%","0.83"
"492","Daniel Helm","LV","TE","8","10","2","0.20","3.3%","-0.10","1","10.0%","0.2%","0","0.00","0.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","9","90.0%","5.6%","2","0.22","2.9%","-0.11","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"493","Ross Travis","ARZ, DET","TE","4","10","0","0.00","7.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","30.0%","1.5%","0","0.00","2.2%","0.00","7","70.0%","14.6%","0","0.00","5.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"494","Miles Boykin","BLT","WR","5","10","1","0.10","4.3%","0.60","9","90.0%","2.1%","1","0.11","3.9%","0.67","1","10.0%","0.3%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"495","Michael Burton","KC","FB","16","10","3","0.30","1.4%","3.10","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","10.0%","0.4%","1","1.00","0.1%","0.00","9","90.0%","1.9%","2","0.22","1.3%","3.44"
"496","Colin Thompson","CAR","TE","11","9","1","0.11","2.1%","0.00","2","22.2%","0.3%","0","0.00","0.5%","0.00","1","11.1%","0.2%","0","0.00","0.2%","0.00","6","66.7%","3.7%","1","0.17","1.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"497","Antonio Gandy-Golden","WAS","WR","5","9","0","0.00","4.2%","0.00","8","88.9%","2.1%","0","0.00","3.8%","0.00","1","11.1%","0.3%","0","0.00","0.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"498","Dillon Stoner","LV","WR","4","9","0","0.00","6.2%","0.00","9","100.0%","3.3%","0","0.00","6.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"499","Devine Ozigbo","NO","RB","2","9","1","0.11","12.0%","0.78","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","9","100.0%","16.1%","1","0.11","12.0%","0.78"
"500","Dwayne Washington","NO","RB","9","8","2","0.25","2.5%","1.50","1","12.5%","0.2%","0","0.00","0.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","87.5%","2.9%","2","0.29","2.2%","1.71"
"501","Gary Brightwell","NYG","RB","7","8","1","0.13","2.7%","0.75","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","8","100.0%","4.2%","1","0.13","2.7%","0.75"
"502","Ryan Nall","CHI","RB","7","8","1","0.13","3.1%","0.50","1","12.5%","0.2%","0","0.00","0.4%","0.00","1","12.5%","0.3%","0","0.00","0.4%","0.00","1","12.5%","1.0%","0","0.00","0.4%","0.00","5","62.5%","3.3%","1","0.20","1.9%","0.80"
"503","Anthony McFarland","PIT","RB","2","8","1","0.13","9.9%","1.38","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","8","100.0%","16.3%","1","0.13","9.9%","1.38"
"504","Trey Ragas","LV","RB","1","8","2","0.25","16.3%","0.75","1","12.5%","1.0%","0","0.00","2.0%","0.00","1","12.5%","1.3%","1","1.00","2.0%","2.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","75.0%","13.3%","1","0.17","12.2%","0.67"
