"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"102","Atlanta Falcons","DST","ATL","4","8","9","-1","3","BYE","11","5","4","0","-2","2","3","15","15","2","6","5.3","84"
"103","Mohamed Sanu Sr.","WR","FA","1.9","6.9","8.8","3.4","3.8","6.9","1.7","2.9","9.2","4.1","9.1","-","1.4","3.6","3.5","12.7","1.7","5.1","81.6"
"104","Andre Roberts","WR","FA","13.7","5.1","1.1","1.1","0","1","5.8","1.3","-","15.7","2.9","5.8","4.9","1.3","2.5","3.5","14.9","5","80.6"
"105","Tyler Eifert","TE","FA","7.2","8.1","1.2","5.4","7.8","2.3","12","3.3","2.9","7","2","-","1.4","3.5","10.8","1.1","-","5.1","76"
"106","Minnesota Vikings","DST","MIN","3","15","10","9","BYE","-3","4","-2","5","4","-3","2","7","7","5","0","9","4.5","72"
"107","Brandon Bolden","RB","LV","-","-","12.5","1.7","9.4","3.8","10.8","9.9","3.6","-","-","13.4","2.5","-","0","3.2","0","5.9","70.8"
"108","Marcedes Lewis","TE","FA","-","-","-","0","-","-","3.6","-0.9","-","5.4","3.8","2.3","10.1","11.2","13.4","13","8.5","6.4","70.4"
"109","Cole Beasley","WR","FA","-","-","1.2","3.1","12.7","6.4","8.3","1.3","9.8","2.3","-","2.3","3.4","9","3.4","3.9","1.2","4.9","68.3"
"110","Kyle Rudolph","TE","FA","3.7","11.7","5.3","1.6","-","20.2","4.2","7.1","10.5","-","-","-","-","-","-","-","-","8","64.3"
"111","Houston Texans","DST","HOU","9","7","2","10","0","0","7","BYE","5","7","1","9","2","1","3","-3","4","4","64"
"112","Mark Ingram II","RB","FA","1.1","2","-","-","-","-","-","-","1.9","23","3.4","3.2","2.2","0.4","5.4","9.5","2.8","5","54.9"
"113","Logan Paulsen","TE","FA","0","2.3","7.1","3.6","-","0","0","0","2.4","7.3","0","0","11.6","9.9","3.6","1.7","5.2","3.4","54.7"
"114","Marquise Goodwin","WR","CLE","-1.5","-","-","-","-","12","0","7.1","13.4","1.9","18.8","-","0","0","0","-0.3","2.7","4.5","54.1"
"115","Benjamin Watson","TE","FA","4.6","0","1.9","6.9","0","7.6","-","6","0","1","-","6.6","0","2.5","2.2","3.6","1.2","2.9","44.1"
"116","Michael Crabtree","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","7.8","6","13","12.7","4.4","8.8","43.9"
"117","Luke Willson","TE","FA","0","0","10.1","0","3.8","2.7","2.8","0","0","2.4","1.2","-","0.7","14.5","3.3","0.8","0.9","2.7","43.2"
"118","Brian Hoyer","QB","LV","-","-","18.6","19.5","2.1","-","-","-","-","-","-","-","-","-","-","-","-","13.4","40.2"
"119","Ryan Griffin","TE","FA","0","0","0","0","0","2.8","0","-","0","6.7","-","4.2","0","1.5","9.2","9.1","6.4","2.7","39.9"
"120","Bruce Miller","TE","FA","3.4","3.2","1.5","3.7","0.9","2.2","1.5","6.6","-","1.5","1.8","0","3","4.2","4.6","-","-","2.7","38.1"
"121","Kirk Cousins","QB","MIN","-","-","-","-","BYE","-","-","-2","-","-","-","-","-","2.4","21.2","10.9","1.1","6.7","33.6"
"122","Anthony Sherman","RB","FA","6.4","0","1.5","1.1","2.3","0","2","9.8","0.2","-","0.9","1.3","1.3","0","2","0","0","1.8","28.8"
"123","Dwayne Harris","WR","FA","2.2","0.9","6.9","1.8","1.8","0","0.6","0","8.3","0.6","-","0","-","0","-","-","0","1.8","23.1"
"124","Levine Toilolo","TE","FA","0","0.9","6.7","0.9","8.5","-","0","2.1","0","0","1.1","1.1","1.7","0","0","0","0","1.4","23"
"125","Chase Daniel","QB","FA","-0.1","-","-","-0.2","-","-","-","-","-","-","-","-","-","-1.6","1.1","-","17.9","3.4","17.1"
"126","Vance McDonald","TE","FA","3","2.4","1.1","1.4","0","1.2","2.5","0","-","0","1.5","2.8","0","0","-","0","0","1.1","15.9"
"127","Travis Benjamin","WR","FA","5.9","2.7","-2","4.4","0","4.5","0","0","-","-","-","-","-","-","-","-","-","1.9","15.5"
"128","James Develin","RB","FA","0","0.9","0","2","0","0","0","0","0","-","0","0","8.1","3.6","0.2","0","0.4","1","15.2"
"129","Chris Hogan","WR","FA","0","0","0","0","2.6","0.7","0","0","0","2.1","4.4","-","0","1.7","0","1.8","0","0.8","13.3"
"130","Theo Riddick","RB","FA","0","0","1.1","0","0","-","-","1.9","-","0","0","0","1","1.2","1.1","6.8","0","0.9","13.1"
"131","Josh Hill","TE","FA","0","0","0","0","0","0","-","2.7","-0.8","0","6.8","2.6","0","0","-","-","1.3","0.9","12.6"
"132","Blaine Gabbert","QB","KC","2.4","-","-","2.2","7.8","-","-","-","-","BYE","-","-","-","-","-","-","-","4.1","12.4"
"133","Lee Smith","TE","FA","0","0","0","3.3","0","0","2.3","0","0","0","0.6","-","0","1.2","0","2.9","0","0.6","10.3"
"134","Virgil Green","TE","FA","0","1","0.8","1","0","0","0","0","-","0.9","0","0.8","0.7","0","0","1.3","2.5","0.6","9"
"135","Patrick DiMarco","RB","FA","-","-","0","0","1.7","-","0","2.3","0","0","0","0","1","1.2","1.2","0.7","0.8","0.6","8.9"
"136","Taiwan Jones","RB","FA","0","0","0","1.9","0","0","-","0","0","0","0","0","0","1.1","3.7","0.1","0","0.4","6.8"
"137","Joe Webb III","QB","FA","0","0","0","0","-","3.9","0","0","0","0","1.9","0","0","0","0","0","0","0.4","5.8"
"138","Tyrod Taylor","QB","NYG","-","-","-","-","-","-","-","-","BYE","1.8","-","1.8","-","-","-","2","-","1.9","5.6"
"139","Nick Williams","WR","FA","-","-","-","-","-","-","-","-","-","-","3","-","1.1","-","0.9","0","0","1","5"
"140","Jack Doyle","TE","FA","-","0","0","0","0","0","1.2","-","0","0","0","0","0","1.3","0.1","1.1","0.7","0.3","4.4"
"141","Kenjon Barner","RB","FA","-","-","-","-","1","-","0","0.8","-","0","-","-","0.6","-","0","0","0","0.3","2.4"
"142","Josh Johnson","QB","BAL","-","-","-","-","-","-","-","1.7","-","-","-","-","-","-","-","0.3","-","1","2"
"143","Matt Barkley","QB","BUF","-","-","-","-","-","-","-0.8","2.3","0.3","-","-","BYE","-","-","-","-","-","0.6","1.8"
"144","Rex Burkhead","RB","FA","-","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-","0","0"
"144","Derek Carrier","TE","FA","-","-","-","-","-","-","-","-","-","-","0","0","0","0","0","-","-","0","0"
"144","Tyrell Williams","WR","FA","-","-","-","-","-","-","-","0","-","0","0","-","-","-","-","-","-","0","0"
"144","Matthew Slater","WR","NE","0","0","-","-","-","-","0","0","0","BYE","0","0","0","0","0","0","0","0","0"
"144","John Brown","WR","FA","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0"
"144","Kyle Juszczyk","RB","SF","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0"
"144","Luke Stocker","TE","FA","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"144","Clark Harris","TE","FA","0","0","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0"
"144","Jonathan Brown","K","FA","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0"
"144","Chris Thompson","RB","FA","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"144","Kyle Nelson","TE","FA","-","-","-","-","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Travis Kelce","TE","KC","-","0","-","-","-","-","-","-","-","BYE","-","-","-","-","-","-","-","0","0"
"144","Beau Brinkley","TE","FA","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0"
"157","Colt McCoy","QB","ARI","-","-","-","0","-0.3","-","-","0.5","BYE","-","-","-","-","-","-0.3","-","-","0","-0.1"
"158","Matt Moore","QB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-1.9","-","-1.9","-1.9"
""
""
