"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"130","Jelani Woods","IND","TE","15","197","31.8%","10.7","417","11.1%","39","7.2%","0.20","25","64.1%","312","20.8","9.1%","1.58","8.00","12.48","119","4.76","58","2.32","3","18.8%","5","3","3","0.12","16","3","7.7%","30","76.9%","2","5.1%","6","5","83.3%","0","103.8","28","8.6%","23.4%","-0.6","16.8%","40.6%","42.6%","0.0%","0.38","4.9","74.2","79.0","5.3","0.40"
"131","Kendall Hinton","DEN","WR","11","267","61.5%","8.8","272","13.9%","31","8.3%","0.12","24","77.4%","311","28.3","12.9%","1.16","10.03","12.96","133","5.54","76","3.17","0","0.0%","1","0","5","0.21","14","3","9.7%","27","87.1%","0","0.0%","2","1","50.0%","0","108.4","22","11.0%","14.8%","2.4","46.4%","53.6%","0.0%","0.0%","0.21","5.1","56.4","54.5","5.0","0.20"
"132","Kylen Granson","IND","TE","13","210","38.9%","6.1","236","10.3%","39","8.1%","0.19","31","79.5%","302","23.2","9.6%","1.44","7.74","9.74","132","4.26","48","1.55","0","0.0%","1","0","3","0.10","17","2","5.1%","33","84.6%","3","7.7%","5","4","80.0%","1","66.9","28","9.5%","20.2%","0.4","8.6%","54.8%","36.7%","0.0%","0.29","4.7","61.2","67.5","5.2","0.32"
"133","Julio Jones","TB","WR","10","215","45.6%","15.2","652","12.5%","43","9.4%","0.20","24","55.8%","299","29.9","10.1%","1.39","6.95","12.46","126","5.25","49","2.04","2","11.8%","5","0","2","0.08","13","2","4.7%","32","74.4%","1","2.3%","4","1","25.0%","2","93.1","36","11.3%","19.1%","-1.9","75.8%","24.2%","0.0%","0.0%","0.33","7.0","70.4","86.5","8.6","0.39"
"134","Noah Gray","KC","TE","17","231","32.0%","5.0","171","4.9%","34","5.2%","0.15","28","82.4%","299","17.6","5.7%","1.29","8.79","10.68","188","6.71","79","2.82","1","2.4%","2","1","3","0.11","14","1","2.9%","31","91.2%","4","11.8%","5","2","40.0%","1","113.1","16","3.8%","13.0%","1.6","13.4%","24.2%","62.3%","0.0%","0.30","4.1","70.0","63.3","3.7","0.26"
"135","Tutu Atwell","LA","WR","13","166","36.9%","17.9","628","17.8%","35","9.1%","0.21","18","51.4%","298","22.9","11.1%","1.80","8.51","16.56","66","3.67","22","1.22","1","7.7%","2","0","3","0.17","11","2","5.7%","22","62.9%","1","2.9%","5","3","60.0%","3","78.0","26","10.2%","25.0%","-1.2","47.0%","52.4%","0.0%","0.6%","0.38","4.9","63.2","67.0","5.2","0.37"
"136","Mecole Hardman","KC","WR","8","198","53.4%","8.2","269","10.6%","33","9.9%","0.17","25","75.8%","297","37.1","11.4%","1.50","9.00","11.88","167","6.68","42","1.68","4","19.0%","3","2","4","0.16","14","3","9.1%","28","84.8%","8","24.2%","1","1","100.0%","0","142.3","28","13.5%","20.5%","1.7","47.5%","50.5%","0.5%","1.5%","0.47","11.7","93.8","72.7","9.1","0.35"
"137","Shi Smith","CAR","WR","17","298","58.2%","8.6","326","13.2%","38","8.3%","0.13","22","57.9%","296","17.4","9.1%","0.99","7.79","13.45","104","4.73","33","1.50","2","12.5%","2","1","2","0.09","14","3","7.9%","29","76.3%","7","18.4%","7","1","14.3%","0","67.4","27","9.2%","15.6%","0.1","21.5%","78.5%","0.0%","0.0%","0.21","3.7","62.6","70.3","4.1","0.24"
"138","Rashod Bateman","BLT","WR","6","117","58.2%","13.2","370","21.9%","28","16.4%","0.24","15","53.6%","285","47.5","22.8%","2.44","10.18","19.00","136","9.07","26","1.73","2","15.4%","1","0","4","0.27","7","4","14.3%","21","75.0%","0","0.0%","2","1","50.0%","0","98.1","24","21.2%","28.9%","1.8","84.6%","15.4%","0.0%","0.0%","0.47","9.1","54.5","47.9","8.0","0.41"
"139","Robby Anderson","ARZ, CAR","WR","16","286","44.7%","14.8","622","12.2%","42","7.5%","0.15","20","47.6%","282","17.6","8.2%","0.99","6.71","14.10","97","4.85","12","0.60","1","7.1%","1","0","1","0.05","10","2","4.8%","30","71.4%","4","9.5%","8","2","25.0%","1","67.8","34","9.0%","16.9%","-2.5","83.6%","16.4%","0.0%","0.0%","0.19","3.3","53.2","70.4","4.4","0.25"
"140","Tre'Quan Smith","NO","WR","15","172","36.1%","13.3","346","10.9%","26","5.9%","0.15","19","73.1%","278","18.5","8.0%","1.62","10.69","14.63","67","3.53","38","2.00","1","4.8%","1","0","2","0.11","14","0","0.0%","22","84.6%","0","0.0%","6","3","50.0%","0","104.3","19","6.9%","17.0%","1.9","37.8%","62.2%","0.0%","0.0%","0.31","3.5","52.8","47.5","3.2","0.28"
"141","Jarvis Landry","NO","WR","9","196","63.2%","9.8","374","13.9%","38","13.7%","0.19","25","65.8%","272","30.2","12.2%","1.39","7.16","10.88","66","2.64","36","1.44","1","7.7%","4","1","5","0.20","12","2","5.3%","29","76.3%","0","0.0%","8","4","50.0%","1","73.6","34","17.3%","21.8%","-0.8","30.1%","68.9%","0.5%","0.5%","0.31","6.7","60.2","68.3","7.6","0.35"
"142","Laviska Shenault","CAR","WR","13","83","22.3%","-0.8","-25","-5.3%","32","9.5%","0.39","27","84.4%","272","20.9","11.0%","3.28","8.50","10.07","334","12.37","124","4.59","1","7.1%","0","0","14","0.52","10","1","3.1%","29","90.6%","19","59.4%","1","1","100.0%","0","112.5","27","12.6%","41.0%","3.0","34.9%","54.2%","9.6%","1.2%","0.88","5.6","72.7","54.8","4.2","0.61"
"143","Daniel Bellinger","NYG","TE","12","248","56.8%","4.3","142","11.0%","33","9.3%","0.13","30","90.9%","268","22.3","11.5%","1.08","8.12","8.93","148","4.93","49","1.63","2","16.7%","1","1","0","0.00","14","1","3.0%","32","97.0%","1","3.0%","3","3","100.0%","0","120.7","23","10.3%","14.3%","1.6","17.3%","28.6%","52.4%","1.6%","0.31","6.3","76.0","58.7","4.9","0.23"
"144","Damiere Byrd","ATL","WR","14","155","39.2%","19.5","449","12.3%","23","6.8%","0.15","13","56.5%","268","19.1","11.7%","1.73","11.65","20.62","107","8.23","27","2.08","2","14.3%","1","0","3","0.23","9","0","0.0%","17","73.9%","0","0.0%","2","1","50.0%","0","90.5","17","7.2%","17.6%","1.8","87.1%","12.9%","0.0%","0.0%","0.33","3.7","51.8","43.8","3.1","0.28"
"145","Trey McBride","ARZ","TE","15","266","40.7%","5.9","232","8.8%","39","6.8%","0.15","29","74.4%","265","17.7","7.6%","1.00","6.79","9.14","122","4.21","39","1.34","1","7.1%","0","0","1","0.03","12","0","0.0%","32","82.1%","2","5.1%","7","5","71.4%","0","100.9","28","6.9%","13.6%","-0.4","11.7%","33.8%","48.5%","6.0%","0.23","4.1","61.5","64.5","4.3","0.24"
"146","Phillip Dorsett","HST","WR","15","250","45.0%","11.7","467","12.5%","40","8.0%","0.16","20","50.0%","257","17.1","8.1%","1.03","6.43","12.85","70","3.50","18","0.90","1","5.9%","1","0","0","0.00","11","2","5.0%","26","65.0%","3","7.5%","8","3","37.5%","2","58.0","32","9.8%","17.4%","-1.9","81.6%","18.4%","0.0%","0.0%","0.21","3.4","51.7","76.5","5.1","0.31"
"147","Skyy Moore","KC","WR","16","153","22.1%","8.6","274","4.3%","32","5.1%","0.21","22","68.8%","250","15.6","5.0%","1.63","7.81","11.36","150","6.82","47","2.14","0","0.0%","1","0","5","0.23","13","1","3.1%","24","75.0%","9","28.1%","3","2","66.7%","0","52.9","20","5.0%","21.8%","0.1","47.7%","50.3%","1.3%","0.7%","0.30","2.9","46.4","55.3","3.5","0.35"
"148","Tyquan Thornton","NE","WR","13","285","61.2%","14.7","630","13.5%","43","10.2%","0.15","22","51.2%","247","19.0","8.5%","0.87","5.74","11.23","70","3.18","19","0.86","2","12.5%","4","2","1","0.05","13","4","9.3%","31","72.1%","6","14.0%","6","3","50.0%","0","74.5","34","12.1%","15.9%","-3.3","77.5%","22.5%","0.0%","0.0%","0.23","5.1","66.3","88.7","6.8","0.30"
"149","Dante Pettis","CHI","WR","17","274","54.3%","10.3","381","13.5%","37","9.8%","0.14","19","51.4%","245","14.4","9.4%","0.89","6.62","12.89","62","3.26","12","0.63","3","15.8%","5","2","2","0.11","9","3","8.1%","30","81.1%","3","8.1%","8","2","25.0%","1","88.2","31","12.3%","18.1%","-1.5","55.5%","44.5%","0.0%","0.0%","0.24","3.8","65.2","72.6","4.3","0.26"
"150","Jonnu Smith","NE","TE","14","145","28.9%","3.3","123","2.7%","37","8.3%","0.26","27","73.0%","245","17.5","7.7%","1.69","6.62","9.07","204","7.56","106","3.93","0","0.0%","1","0","9","0.33","9","0","0.0%","29","78.4%","11","29.7%","7","4","57.1%","0","79.2","24","8.5%","21.8%","-0.2","13.1%","29.7%","53.1%","4.1%","0.36","3.7","52.0","61.1","4.4","0.42"
"151","Ray-Ray McCloud","SF","WR","17","151","27.2%","13.1","275","8.3%","21","4.1%","0.14","14","66.7%","243","14.3","6.0%","1.61","11.57","17.36","96","6.86","28","2.00","1","3.3%","1","1","2","0.14","11","2","9.5%","16","76.2%","4","19.0%","3","3","100.0%","1","121.7","17","5.1%","14.7%","2.6","57.0%","42.4%","0.0%","0.7%","0.38","3.4","58.1","46.8","2.8","0.30"
"152","Harrison Bryant","CLV","TE","17","243","39.3%","6.0","252","5.8%","42","7.8%","0.17","31","73.8%","239","14.1","6.4%","0.98","5.69","7.71","114","3.68","45","1.45","1","5.3%","3","0","4","0.13","12","4","9.5%","39","92.9%","3","7.1%","6","3","50.0%","0","95.2","23","6.6%","19.1%","-1.3","13.2%","43.6%","40.7%","2.5%","0.25","3.6","61.7","74.7","4.4","0.31"
"153","A.J. Green","ARZ","WR","15","318","46.6%","11.9","534","11.5%","45","7.5%","0.14","24","53.3%","236","15.7","6.6%","0.74","5.24","9.83","60","2.50","41","1.71","2","14.3%","6","1","2","0.08","11","1","2.2%","31","68.9%","2","4.4%","13","6","46.2%","2","55.4","34","8.2%","15.1%","-3.1","86.8%","13.2%","0.0%","0.0%","0.19","4.1","61.6","83.4","5.6","0.26"
"154","C.J. Uzomah","NYJ","TE","15","199","32.8%","6.3","165","6.4%","26","4.7%","0.13","21","80.8%","232","15.5","6.5%","1.17","8.92","11.05","113","5.38","37","1.76","2","18.2%","1","1","2","0.10","10","0","0.0%","23","88.5%","3","11.5%","1","1","100.0%","0","129.5","20","5.9%","12.7%","1.8","9.5%","30.2%","59.8%","0.5%","0.28","3.7","56.2","42.2","2.8","0.21"
"155","Trenton Irwin","CIN","WR","9","170","45.7%","12.7","279","13.7%","22","6.5%","0.13","15","68.2%","231","25.7","9.6%","1.36","10.50","15.40","61","4.07","34","2.27","4","20.0%","4","3","1","0.07","12","1","4.5%","19","86.4%","1","4.5%","7","4","57.1%","0","142.2","19","8.6%","14.5%","1.7","65.3%","34.7%","0.0%","0.0%","0.37","7.0","63.2","44.6","5.0","0.26"
"156","Wan'Dale Robinson","NYG","WR","6","126","60.6%","5.7","172","15.1%","30","17.6%","0.24","23","76.7%","227","37.8","17.8%","1.80","7.57","9.87","131","5.70","48","2.09","1","12.5%","0","0","4","0.17","13","1","3.3%","27","90.0%","2","6.7%","8","5","62.5%","1","108.6","19","18.6%","29.1%","0.7","19.0%","81.0%","0.0%","0.0%","0.41","8.6","51.6","52.0","8.7","0.40"
"157","Brock Wright","DET","TE","17","155","24.7%","2.8","68","2.2%","24","4.1%","0.15","18","75.0%","216","12.7","4.9%","1.39","9.00","12.00","169","9.39","31","1.72","4","13.8%","1","1","0","0.00","13","3","12.5%","21","87.5%","3","12.5%","1","1","100.0%","0","141.7","15","3.9%","11.1%","2.8","14.8%","20.0%","63.2%","1.9%","0.41","3.7","63.6","42.7","2.5","0.28"
"158","David Bell","CLV","WR","16","281","47.9%","7.1","235","6.8%","33","6.4%","0.12","24","72.7%","214","13.4","6.0%","0.76","6.48","8.92","74","3.08","39","1.63","0","0.0%","0","0","0","0.00","7","3","9.1%","30","90.9%","1","3.0%","7","3","42.9%","0","50.1","24","7.3%","13.6%","-0.7","28.5%","71.5%","0.0%","0.0%","0.16","2.8","45.4","50.4","3.2","0.18"
"159","Ashton Dulin","IND","WR","12","114","23.8%","12.8","269","11.3%","21","5.0%","0.18","15","71.4%","207","17.3","7.5%","1.82","9.86","13.80","38","2.53","21","1.40","1","8.3%","2","1","1","0.07","12","0","0.0%","18","85.7%","0","0.0%","6","5","83.3%","0","79.0","19","6.9%","21.4%","1.1","57.0%","42.1%","0.9%","0.0%","0.37","3.5","42.5","42.1","3.5","0.36"
"160","Adam Trautman","NO","TE","15","131","27.2%","5.4","118","4.1%","22","5.1%","0.17","18","81.8%","207","13.8","6.2%","1.58","9.41","11.50","123","6.83","24","1.33","1","5.6%","0","0","1","0.06","9","0","0.0%","19","86.4%","1","4.5%","3","2","66.7%","0","121.0","14","4.8%","13.4%","2.4","12.2%","19.8%","67.9%","0.0%","0.34","3.0","44.7","35.7","2.4","0.27"
"161","Amari Rodgers","GB, HST","WR","16","146","24.3%","10.9","240","7.7%","22","3.9%","0.15","16","72.7%","204","12.8","5.6%","1.40","9.27","12.75","71","4.44","22","1.38","1","4.0%","1","0","1","0.06","12","1","4.5%","18","81.8%","3","13.6%","4","3","75.0%","1","116.5","17","4.7%","16.4%","1.0","34.2%","65.1%","0.7%","0.0%","0.28","2.6","41.1","40.5","2.5","0.27"
"162","KhaDarel Hodge","ATL","WR","17","79","16.1%","12.8","244","8.4%","19","4.6%","0.24","13","68.4%","202","11.9","6.9%","2.56","10.63","15.54","62","4.77","52","4.00","1","5.9%","1","1","2","0.15","7","2","10.5%","16","84.2%","2","10.5%","4","2","50.0%","0","120.9","15","5.1%","27.9%","1.9","79.7%","20.3%","0.0%","0.0%","0.52","2.4","41.2","31.0","1.8","0.39"
"163","Ian Thomas","CAR","TE","17","132","25.8%","1.8","51","0.8%","29","6.3%","0.22","21","72.4%","197","11.6","6.1%","1.49","6.79","9.38","185","8.81","51","2.43","0","0.0%","0","0","1","0.05","8","2","6.9%","25","86.2%","7","24.1%","3","1","33.3%","0","90.7","22","7.5%","16.4%","0.6","3.0%","10.6%","86.4%","0.0%","0.31","2.4","40.7","49.3","2.9","0.37"
"164","Mo Alie-Cox","IND","TE","17","248","36.2%","6.2","167","4.9%","27","4.5%","0.11","19","70.4%","189","11.1","4.9%","0.76","7.00","9.95","96","5.05","62","3.26","3","17.6%","2","1","2","0.11","9","1","3.7%","21","77.8%","1","3.7%","3","2","66.7%","1","126.9","16","4.3%","10.4%","-0.1","13.3%","31.9%","54.8%","0.0%","0.22","3.2","54.9","45.7","2.7","0.18"
"165","Jamal Agnew","JAX","WR","15","83","14.6%","5.8","173","3.0%","30","5.8%","0.36","23","76.7%","187","12.5","5.0%","2.25","6.23","8.13","132","5.74","32","1.39","3","12.5%","2","0","3","0.13","9","2","6.7%","25","83.3%","10","33.3%","1","1","100.0%","1","125.3","23","5.9%","39.5%","-0.6","45.8%","54.2%","0.0%","0.0%","0.85","4.7","70.3","60.2","4.0","0.66"
"166","Denzel Mims","NYJ","WR","10","147","37.0%","12.4","310","8.2%","25","6.9%","0.17","11","44.0%","186","18.6","7.9%","1.27","7.44","16.91","83","7.55","62","5.64","0","0.0%","0","0","5","0.45","7","2","8.0%","17","68.0%","3","12.0%","7","3","42.9%","0","53.1","23","9.6%","19.7%","-1.2","77.6%","21.8%","0.7%","0.0%","0.20","3.0","29.6","41.4","4.1","0.28"
"167","Scott Miller","TB","WR","14","168","26.0%","13.0","518","8.3%","40","6.4%","0.24","23","57.5%","185","13.2","5.0%","1.10","4.63","8.04","38","1.65","5","0.22","0","0.0%","2","0","0","0.00","8","2","5.0%","31","77.5%","2","5.0%","9","5","55.6%","0","69.3","33","7.6%","24.1%","-3.9","76.2%","23.8%","0.0%","0.0%","0.25","3.0","42.3","71.2","5.1","0.42"
"168","Irv Smith","MIN","TE","8","160","50.0%","5.1","173","8.5%","34","11.4%","0.21","25","73.5%","182","22.8","8.6%","1.14","5.35","7.28","100","4.00","45","1.80","2","16.7%","2","1","2","0.08","9","3","8.8%","30","88.2%","3","8.8%","7","2","28.6%","1","93.0","19","9.4%","21.0%","-1.6","22.5%","18.1%","59.4%","0.0%","0.35","6.9","55.2","57.3","7.2","0.36"
"169","Jalen Nailor","MIN","WR","9","24","6.1%","12.3","148","6.8%","12","3.4%","0.50","9","75.0%","179","19.9","6.5%","7.46","14.92","19.89","68","7.56","33","3.67","1","6.7%","0","0","1","0.11","7","0","0.0%","10","83.3%","1","8.3%","0","0","0.0%","0","109.7","12","4.6%","48.0%","6.2","83.3%","16.7%","0.0%","0.0%","1.37","3.7","32.9","20.2","2.2","0.84"
"170","Cameron Brate","TB","TE","11","210","45.3%","6.9","243","7.5%","35","7.8%","0.17","20","57.1%","174","15.8","6.2%","0.83","4.97","8.70","74","3.70","19","0.95","0","0.0%","2","0","4","0.20","8","1","2.9%","24","68.6%","2","5.7%","5","2","40.0%","1","58.5","26","7.9%","15.9%","-2.5","19.0%","53.8%","27.1%","0.0%","0.18","3.4","37.4","68.3","6.2","0.33"
"171","Jake Ferguson","DAL","TE","16","85","15.0%","2.8","61","2.2%","22","4.2%","0.26","19","86.4%","174","10.9","4.8%","2.05","7.91","9.16","127","6.68","62","3.26","2","8.0%","1","1","6","0.32","8","0","0.0%","19","86.4%","2","9.1%","1","1","100.0%","1","129.9","17","4.7%","16.8%","1.6","10.6%","24.7%","62.4%","2.4%","0.57","3.0","48.4","40.3","2.5","0.47"
"172","Tommy Tremble","CAR","TE","17","207","40.4%","8.9","266","7.2%","30","6.6%","0.14","19","63.3%","174","10.2","5.4%","0.84","5.80","9.16","71","3.74","26","1.37","3","18.8%","4","2","1","0.05","9","2","6.7%","23","76.7%","1","3.3%","2","1","50.0%","0","98.5","20","6.8%","15.2%","-1.9","5.8%","15.0%","77.8%","1.4%","0.26","3.1","53.4","62.3","3.7","0.30"
"173","Michael Thomas","NO","WR","3","98","76.0%","10.2","225","22.5%","22","19.1%","0.22","16","72.7%","171","57.0","19.9%","1.74","7.77","10.69","30","1.88","14","0.88","3","75.0%","3","3","0","0.00","13","1","4.5%","19","86.4%","0","0.0%","5","3","60.0%","1","134.7","21","25.0%","25.6%","-0.3","77.6%","22.4%","0.0%","0.0%","0.52","17.0","51.1","43.3","14.4","0.44"
"174","Kadarius Toney","NYG, KC","WR","9","80","20.9%","3.5","67","4.8%","19","5.8%","0.24","16","84.2%","171","19.0","6.7%","2.14","9.00","10.69","111","6.94","40","2.50","2","10.5%","0","0","5","0.31","8","2","10.5%","18","94.7%","8","42.1%","1","1","100.0%","3","139.3","16","8.0%","30.2%","2.5","55.0%","41.3%","0.0%","3.8%","0.73","6.5","58.3","39.0","4.3","0.44"
"175","K.J. Hamler","DEN","WR","7","146","52.5%","25.4","356","16.9%","14","5.8%","0.10","7","50.0%","165","23.6","9.7%","1.13","11.79","23.57","24","3.43","10","1.43","0","0.0%","0","0","0","0.00","3","0","0.0%","7","50.0%","1","7.1%","3","3","100.0%","0","63.1","9","6.5%","11.2%","1.1","81.5%","18.5%","0.0%","0.0%","0.18","3.7","25.8","31.1","4.4","0.21"
"176","Khalil Shakir","BUF","WR","14","114","20.8%","11.2","202","3.6%","18","3.8%","0.16","10","55.6%","161","11.5","4.5%","1.41","8.94","16.10","75","7.50","42","4.20","1","3.3%","2","0","1","0.10","7","2","11.1%","13","72.2%","3","16.7%","3","2","66.7%","1","104.2","15","5.1%","16.5%","0.6","41.2%","58.8%","0.0%","0.0%","0.30","2.4","34.1","31.3","2.2","0.27"
"177","Marquez Callaway","NO","WR","14","183","39.2%","12.1","374","6.3%","31","7.2%","0.17","16","51.6%","158","11.3","4.7%","0.86","5.10","9.88","39","2.44","30","1.88","1","4.3%","4","1","0","0.00","11","2","6.5%","24","77.4%","0","0.0%","14","6","42.9%","2","50.2","23","8.4%","19.7%","-3.3","92.3%","7.7%","0.0%","0.0%","0.21","2.7","37.8","55.2","3.9","0.30"
"178","Brandon Powell","LA","WR","17","132","21.5%","1.4","42","-1.8%","31","5.8%","0.23","24","77.4%","156","9.2","4.4%","1.18","5.03","6.50","187","7.79","25","1.04","0","0.0%","1","0","0","0.00","7","1","3.2%","27","87.1%","15","48.4%","2","1","50.0%","0","87.6","24","6.8%","26.7%","-0.9","40.2%","52.3%","0.8%","6.8%","0.36","2.8","47.6","60.7","3.6","0.39"
"179","Sterling Shepard","NYG","WR","3","93","76.2%","10.6","233","36.0%","22","23.9%","0.24","13","59.1%","154","51.3","27.5%","1.66","7.00","11.85","56","4.31","30","2.31","1","33.3%","0","0","1","0.08","4","2","9.1%","17","77.3%","0","0.0%","3","2","66.7%","0","95.6","14","29.2%","33.8%","-1.1","69.9%","29.0%","1.1%","0.0%","0.37","11.5","34.4","40.8","13.6","0.44"
"180","DeSean Jackson","BLT","WR","7","72","34.3%","17.4","296","19.4%","17","9.7%","0.24","9","52.9%","153","21.9","14.3%","2.13","9.00","17.00","26","2.89","3","0.33","0","0.0%","1","0","0","0.00","5","0","0.0%","13","76.5%","0","0.0%","6","2","33.3%","0","59.2","11","9.5%","29.8%","-0.3","75.0%","25.0%","0.0%","0.0%","0.34","3.5","24.3","31.2","4.5","0.43"
"181","Connor Heyward","PIT","TE","17","78","12.2%","8.0","112","4.2%","14","2.5%","0.18","12","85.7%","151","8.9","4.1%","1.94","10.79","12.58","67","5.58","18","1.50","1","8.3%","2","1","3","0.25","6","0","0.0%","12","85.7%","0","0.0%","2","2","100.0%","1","105.7","11","2.9%","20.9%","3.1","5.1%","33.3%","61.5%","0.0%","0.46","2.1","35.8","26.9","1.6","0.33"
"182","MyCole Pruitt","ATL","TE","13","73","19.5%","5.4","114","6.4%","21","6.6%","0.29","16","76.2%","150","11.5","7.0%","2.05","7.14","9.38","82","5.13","16","1.00","4","28.6%","3","3","0","0.00","10","0","0.0%","16","76.2%","3","14.3%","1","1","100.0%","0","134.9","15","6.6%","19.8%","0.2","6.8%","19.2%","72.6%","1.4%","0.75","4.2","55.0","44.2","3.4","0.61"
"183","Zach Pascal","PHI","WR","17","123","19.7%","5.3","96","2.7%","18","3.4%","0.15","15","83.3%","150","8.8","3.4%","1.22","8.33","10.00","88","5.87","28","1.87","1","4.0%","0","0","3","0.20","9","0","0.0%","16","88.9%","1","5.6%","4","2","50.0%","0","96.8","15","3.8%","14.1%","1.6","26.8%","62.6%","8.9%","1.6%","0.29","2.1","36.0","29.2","1.7","0.23"
"184","Josh Oliver","BLT","TE","17","140","24.7%","8.9","214","4.1%","24","4.9%","0.17","14","58.3%","149","8.8","4.7%","1.06","6.21","10.64","75","5.36","23","1.64","2","10.5%","3","1","2","0.14","7","2","8.3%","18","75.0%","0","0.0%","2","0","0.0%","1","104.3","12","3.7%","17.6%","-1.9","13.6%","23.6%","62.9%","0.0%","0.29","2.4","40.9","47.7","2.8","0.34"
"185","Eric Saubert","DEN","TE","17","168","25.3%","7.5","172","3.5%","23","4.0%","0.14","15","65.2%","148","8.7","3.7%","0.88","6.43","9.87","79","5.27","41","2.73","1","5.6%","2","1","4","0.27","6","2","8.7%","18","78.3%","0","0.0%","2","1","50.0%","0","79.6","11","3.4%","14.7%","-1.7","8.3%","41.7%","50.0%","0.0%","0.21","2.1","35.8","41.9","2.5","0.25"
"186","O.J. Howard","HST","TE","14","110","20.8%","9.8","215","6.1%","22","4.6%","0.20","10","45.5%","145","10.4","4.9%","1.32","6.59","14.50","62","6.20","13","1.30","2","14.3%","2","0","1","0.10","6","0","0.0%","12","54.5%","1","4.5%","6","4","66.7%","0","78.8","18","5.6%","17.5%","-2.2","7.3%","10.9%","80.9%","0.9%","0.33","2.6","36.5","39.7","2.8","0.36"
"187","Braxton Berrios","NYJ","WR","17","169","24.6%","6.3","201","2.1%","32","5.1%","0.19","18","56.3%","145","8.5","3.6%","0.86","4.53","8.06","99","5.50","28","1.56","0","0.0%","1","0","1","0.06","8","2","6.3%","21","65.6%","7","21.9%","5","3","60.0%","0","54.8","24","6.2%","21.8%","-2.6","39.1%","59.8%","0.6%","0.6%","0.34","3.4","57.7","65.9","3.9","0.37"
"188","Dyami Brown","WAS","WR","15","79","14.2%","26.4","343","6.0%","13","2.7%","0.16","5","38.5%","143","9.5","4.3%","1.81","11.00","28.60","31","6.20","2","0.40","2","9.5%","1","0","1","0.20","5","0","0.0%","7","53.8%","0","0.0%","2","0","0.0%","3","119.6","11","3.5%","18.8%","-0.5","69.6%","30.4%","0.0%","0.0%","0.42","2.2","32.8","26.3","1.8","0.33"
"189","Tom Kennedy","DET","WR","7","107","45.7%","9.3","130","8.9%","14","6.5%","0.13","8","57.1%","141","20.1","8.7%","1.32","10.07","17.63","75","9.38","18","2.25","0","0.0%","1","0","0","0.00","7","0","0.0%","10","71.4%","0","0.0%","1","0","0.0%","0","61.9","9","6.2%","13.6%","2.3","53.3%","46.7%","0.0%","0.0%","0.21","3.2","22.1","30.7","4.4","0.29"
"190","Keelan Cole","LV","WR","14","231","43.3%","17.2","362","6.4%","21","4.3%","0.09","10","47.6%","141","10.1","4.2%","0.61","6.71","14.10","21","2.10","15","1.50","1","4.3%","4","1","0","0.00","8","2","9.5%","15","71.4%","0","0.0%","6","1","16.7%","1","85.6","16","5.4%","10.0%","-3.0","37.2%","62.8%","0.0%","0.0%","0.13","2.2","30.1","49.9","3.6","0.22"
"191","Johnny Mundt","MIN","TE","17","132","18.0%","1.2","26","0.7%","21","3.1%","0.16","19","90.5%","140","8.2","2.9%","1.06","6.67","7.37","124","6.53","53","2.79","1","3.3%","1","1","5","0.26","9","2","9.5%","21","100.0%","3","14.3%","0","0","0.0%","0","110.3","15","3.2%","12.5%","0.9","12.9%","9.1%","78.0%","0.0%","0.30","2.3","39.0","32.3","1.9","0.24"
"192","Mitchell Wilcox","CIN","TE","16","169","24.8%","4.3","77","2.5%","18","3.0%","0.11","17","94.4%","139","8.7","3.1%","0.82","7.72","8.18","78","4.59","34","2.00","1","2.9%","0","0","1","0.06","6","0","0.0%","17","94.4%","0","0.0%","2","2","100.0%","0","117.4","16","4.0%","9.6%","1.0","14.8%","16.0%","68.0%","1.2%","0.22","2.3","36.9","30.3","1.9","0.18"
"193","Cedrick Wilson","MIA","WR","15","129","22.8%","10.6","180","3.2%","17","3.3%","0.13","12","70.6%","136","9.1","3.2%","1.05","8.00","11.33","52","4.33","15","1.25","0","0.0%","1","0","0","0.00","8","0","0.0%","15","88.2%","1","5.9%","6","2","33.3%","1","94.2","14","4.1%","14.5%","-0.4","55.0%","45.0%","0.0%","0.0%","0.20","1.8","26.4","29.1","1.9","0.22"
"194","Dan Arnold","JAX","TE","16","56","9.1%","6.7","74","2.9%","11","2.0%","0.20","9","81.8%","135","8.4","3.4%","2.41","12.27","15.00","79","8.78","18","2.00","0","0.0%","0","0","1","0.11","5","1","9.1%","10","90.9%","2","18.2%","1","1","100.0%","0","117.8","10","2.3%","22.0%","4.8","17.9%","41.1%","39.3%","1.8%","0.40","1.4","22.5","20.8","1.3","0.37"
