"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"143","Khari Blasingame","TEN","FB","12","82","807","10.2%","3","403","0.7%","18","420","4.3%","2","340","0.5%","4.3","861.8","0.5%","0.4","0.2","2.0"
"144","Darrynton Evans","TEN","RB","1","6","64","9.4%","2","35","5.7%","4","31","12.9%","2","27","7.1%","4.0","74.5","5.4%","4.0","3.8","3.8"
"145","La'Mical Perine","NYJ","RB","3","24","201","11.9%","8","61","13.1%","12","144","8.3%","0","125","0.0%","3.9","251.9","1.5%","1.3","1.0","3.1"
"146","Reggie Bonnafon","CAR","RB","1","13","67","19.4%","1","15","6.7%","7","53","13.2%","2","39","4.4%","3.8","80.0","4.7%","3.8","3.6","3.6"
"147","Anthony McFarland","PIT","RB","2","15","128","11.7%","3","47","6.4%","8","81","9.9%","1","73","1.3%","3.4","156.0","2.2%","1.7","1.2","2.4"
"148","Mekhi Sargent","TEN, LA, JAX","RB","4","6","259","2.3%","5","117","4.3%","1","149","0.7%","1","125","0.8%","3.3","300.9","1.1%","0.8","0.3","1.1"
"149","Trey Ragas","LV","RB","1","9","61","14.8%","1","12","8.3%","8","49","16.3%","2","43","4.4%","3.2","77.9","4.1%","3.2","3.5","3.5"
"150","Devine Ozigbo","NO","RB","2","10","123","8.1%","1","54","1.9%","9","75","12.0%","1","58","1.5%","2.4","130.9","1.8%","1.2","0.7","1.4"
"151","Ito Smith","DAL","RB","1","5","61","8.2%","1","32","3.1%","1","29","3.4%","0","26","0.0%","2.2","70.1","3.1%","2.2","6.4","6.4"
"152","Buddy Howell","LA","RB","5","7","326","2.1%","5","114","4.4%","1","216","0.5%","0","197","0.0%","2.1","440.8","0.5%","0.4","0.2","1.1"
"153","Ryan Nall","CHI","RB","7","18","429","4.2%","1","201","0.5%","8","257","3.1%","1","191","0.5%","1.8","475.6","0.4%","0.3","0.3","1.8"
"154","Jaquan Hardy","DAL","RB","2","8","139","5.8%","4","67","6.0%","0","75","0.0%","0","65","0.0%","1.8","163.1","1.1%","0.9","4.5","8.9"
"155","Gary Brightwell","NYG","RB","7","12","432","2.8%","1","153","0.7%","8","296","2.7%","1","243","0.4%","1.8","511.6","0.3%","0.3","0.3","2.0"
"156","Kenjon Barner","TB","RB","3","9","194","4.6%","4","72","5.6%","2","123","1.6%","0","112","0.0%","1.7","244.1","0.7%","0.6","0.0","0.0"
"157","Damarea Crockett","DEN","RB","1","6","64","9.4%","3","37","8.1%","2","29","6.9%","0","23","0.0%","1.6","75.3","2.1%","1.6","0.7","0.7"
"158","Jake Funk","LA","RB","6","20","365","5.5%","2","163","1.2%","12","206","5.8%","0","189","0.0%","1.3","429.2","0.3%","0.2","0.1","0.5"
"159","Trenton Cannon","BLT, SF","RB","10","11","624","1.8%","3","297","1.0%","7","347","2.0%","0","286","0.0%","1.3","682.0","0.2%","0.1","-0.1","-0.6"
"160","Raheem Mostert","SF","RB","1","4","55","7.3%","2","28","7.1%","1","28","3.6%","0","23","0.0%","1.0","51.7","1.9%","1.0","2.0","2.0"
"161","John Kelly","CLV","RB","1","3","67","4.5%","2","33","6.1%","0","36","0.0%","0","30","0.0%","0.9","70.6","1.3%","0.9","1.3","1.3"
"162","Jacques Patrick","SF","RB","1","6","72","8.3%","2","29","6.9%","3","48","6.3%","0","39","0.0%","0.9","84.4","1.0%","0.9","1.2","1.2"
"163","Nate McCrary","BLT","RB","1","2","69","2.9%","1","25","4.0%","1","47","2.1%","0","35","0.0%","0.5","79.0","0.6%","0.5","-0.1","-0.1"
"164","Nathan Cottrell","JAX","RB","3","1","181","0.6%","1","79","1.3%","0","110","0.0%","0","91","0.0%","0.5","217.0","0.2%","0.2","0.1","0.3"
