"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"73","Alexander Mattison","MIN","RB","17","74","283","5","198","26","1","141","18","15","91","1","129","60","5","0","89","374","6","31","258","3.82","2.68","0.35","1.4%","0.65","5.06","8.60","4.00","0.33","0.0%","4.20","0.35","2.90","1.1%","16.6","5.4","22.0","5.2","88.4","79.1","4.7"
"74","Clyde Edwards-Helaire","KC","RB","10","71","302","3","211","14","4","99","22","17","151","3","150","77","6","2","88","453","6","20","288","4.25","2.97","0.20","5.6%","1.53","6.86","8.82","4.53","0.35","11.8%","5.15","0.23","3.27","6.8%","30.2","15.1","45.3","9.8","98.3","83.3","8.3"
"75","A.J. Brown","PHI","WR","17","0","0","0","-","0","0","508","136","88","1496","11","570","261","22","23","88","1496","11","22","261","-","-","0.00","0.0%","2.94","11.00","6.48","2.97","0.25","26.1%","17.00","0.25","2.97","26.1%","0.0","88.0","88.0","17.7","301.6","259.1","15.2"
"76","Zay Jones","JAX","WR","16","4","18","0","9","0","0","516","117","82","823","5","311","120","6","7","87","841","5","6","129","4.50","2.25","0.00","0.0%","1.59","7.03","3.79","1.46","0.07","8.5%","9.67","0.07","1.48","8.0%","1.1","51.4","52.6","12.4","198.1","203.8","12.7"
"77","Darrell Henderson","LA","RB","10","70","283","3","194","5","3","166","21","17","102","0","115","30","1","0","87","385","3","6","224","4.04","2.77","0.07","4.3%","0.61","4.86","6.76","1.76","0.06","0.0%","4.43","0.07","2.57","3.4%","28.3","10.2","38.5","7.4","73.5","73.5","7.4"
"78","Garrett Wilson","NYJ","WR","17","4","4","0","6","1","0","575","141","83","1103","4","381","232","19","13","87","1107","4","20","238","1.00","1.50","0.25","0.0%","1.92","7.82","4.59","2.80","0.23","15.7%","12.72","0.23","2.74","14.9%","0.2","64.9","65.1","12.7","216.7","254.6","15.0"
"79","Gus Edwards","BLT","RB","9","87","433","3","279","18","5","26","1","0","0","0","0","-","0","0","87","433","3","18","279","4.98","3.21","0.21","5.7%","0.00","-","0.00","-","0.00","0.0%","4.98","0.21","3.21","5.7%","48.1","0.0","48.1","6.7","60.3","52.9","5.9"
"80","T.J. Hockenson","DET, MIN","TE","17","0","0","0","-","0","0","535","126","86","914","6","418","228","11","5","87","914","6","11","228","-","-","0.00","0.0%","1.71","7.25","4.86","2.65","0.13","5.8%","10.51","0.13","2.62","5.7%","0.0","53.8","53.8","12.7","216.4","223.9","13.2"
"81","Chase Edmonds","MIA, DEN","RB","13","68","245","2","141","5","3","144","23","16","157","1","121","35","4","1","84","402","3","9","176","3.60","2.07","0.07","4.4%","1.09","6.83","7.56","2.19","0.25","6.3%","4.79","0.11","2.10","4.8%","18.8","12.1","30.9","5.7","74.2","81.9","6.3"
"82","Terry McLaurin","WAS","WR","17","7","29","0","20","0","0","541","114","77","1191","5","398","194","13","16","84","1220","5","13","214","4.14","2.86","0.00","0.0%","2.20","10.45","5.17","2.52","0.17","20.8%","14.52","0.15","2.55","19.0%","1.7","70.1","71.8","13.5","229.0","214.9","12.6"
"83","Tyler Lockett","SEA","WR","16","0","0","0","-","0","0","513","112","84","1033","9","282","55","9","14","84","1033","9","9","55","-","-","0.00","0.0%","2.01","9.22","3.36","0.65","0.11","16.7%","12.30","0.11","0.65","16.7%","0.0","64.6","64.6","15.0","239.3","204.5","12.8"
"84","Cooper Kupp","LA","WR","9","9","52","1","12","1","1","308","97","75","812","6","437","142","9","11","84","864","7","10","154","5.78","1.33","0.11","11.1%","2.64","8.37","5.83","1.89","0.12","14.7%","10.29","0.12","1.83","14.3%","5.8","90.2","96.0","22.5","202.4","175.6","19.5"
"85","Joshua Kelley","LAC","RB","13","69","287","2","168","14","2","117","23","14","101","0","89","20","2","1","83","388","2","16","188","4.16","2.43","0.20","2.9%","0.86","4.39","6.36","1.43","0.14","7.1%","4.67","0.19","2.27","3.6%","22.1","7.8","29.8","5.0","64.8","76.4","5.9"
"86","Brandon Aiyuk","SF","WR","17","2","23","0","9","0","1","479","113","78","1015","8","372","193","17","17","80","1038","8","17","202","11.50","4.50","0.00","50.0%","2.12","8.98","4.77","2.47","0.22","21.8%","12.98","0.21","2.53","22.5%","1.4","59.7","61.1","13.5","228.8","209.4","12.3"
"87","Caleb Huntley","ATL","RB","12","76","366","1","262","11","4","16","2","2","3","0","8","4","0","0","78","369","1","11","266","4.82","3.45","0.14","5.3%","0.19","1.50","4.00","2.00","0.00","0.0%","4.73","0.14","3.41","5.1%","30.5","0.3","30.8","3.7","44.9","45.3","3.8"
"88","Jaylen Waddle","MIA","WR","17","3","26","0","21","2","0","500","117","75","1356","8","534","138","10","21","78","1382","8","12","159","8.67","7.00","0.67","0.0%","2.71","11.59","7.12","1.84","0.13","28.0%","17.72","0.15","2.04","26.9%","1.5","79.8","81.3","15.3","260.2","214.4","12.6"
"89","Mark Ingram","NO","RB","10","62","233","1","161","19","0","80","16","16","68","0","81","26","5","0","78","301","1","24","187","3.76","2.60","0.31","0.0%","0.85","4.25","5.06","1.63","0.31","0.0%","3.86","0.31","2.40","0.0%","23.3","6.8","30.1","5.2","52.1","59.5","5.9"
"90","JuJu Smith-Schuster","KC","WR","16","0","0","0","-","0","0","484","99","78","933","3","467","219","9","9","78","933","3","9","219","-","-","0.00","0.0%","1.93","9.42","5.99","2.81","0.12","11.5%","11.96","0.12","2.81","11.5%","0.0","58.3","58.3","11.7","187.3","163.5","10.2"
"91","Amari Cooper","CLV","WR","17","0","0","0","-","0","0","538","128","78","1160","9","301","122","8","18","78","1160","9","8","122","-","-","0.00","0.0%","2.16","9.06","3.86","1.56","0.10","23.1%","14.87","0.10","1.56","23.1%","0.0","68.2","68.2","14.5","247.0","243.0","14.3"
"92","Mike Evans","TB","WR","15","0","0","0","-","0","0","564","123","77","1124","6","239","102","6","19","77","1124","6","6","102","-","-","0.00","0.0%","1.99","9.14","3.10","1.32","0.08","24.7%","14.60","0.08","1.32","24.7%","0.0","74.9","74.9","15.0","225.4","254.1","16.9"
"93","Mark Andrews","BLT","TE","15","3","8","0","7","0","0","412","106","73","847","5","267","111","5","7","76","855","5","5","118","2.67","2.33","0.00","0.0%","2.06","7.99","3.66","1.52","0.07","9.6%","11.25","0.07","1.55","9.2%","0.5","56.5","57.0","12.7","190.5","195.7","13.0"
"94","Kenneth Gainwell","PHI","RB","17","53","240","4","128","8","0","167","28","23","169","0","154","50","6","1","76","409","4","14","178","4.53","2.42","0.15","0.0%","1.01","6.04","6.70","2.17","0.26","4.3%","5.38","0.18","2.34","1.3%","14.1","9.9","24.1","5.2","87.9","95.2","5.6"
"95","Evan Engram","JAX","TE","17","2","13","0","-","0","0","478","97","73","766","4","487","163","8","10","75","779","4","8","163","6.50","-","0.00","0.0%","1.60","7.90","6.67","2.23","0.11","13.7%","10.39","0.11","2.17","13.3%","0.8","45.1","45.8","10.4","176.9","174.9","10.3"
"96","Matt Breida","NYG","RB","17","54","220","1","138","11","3","113","24","20","118","0","105","27","2","0","74","338","1","13","165","4.07","2.56","0.20","5.6%","1.04","4.92","5.25","1.35","0.10","0.0%","4.57","0.18","2.23","4.1%","12.9","6.9","19.9","3.5","59.8","66.7","3.9"
"97","Tee Higgins","CIN","WR","16","0","0","0","-","0","0","502","102","74","1029","7","282","148","8","14","74","1029","7","8","148","-","-","0.00","0.0%","2.05","10.09","3.81","2.00","0.11","18.9%","13.91","0.11","2.00","18.9%","0.0","64.3","64.3","13.8","220.9","184.5","11.5"
"98","D.J. Moore","CAR","WR","17","10","53","0","29","3","0","447","109","63","888","7","202","85","9","17","74","941","7","12","114","5.30","2.90","0.30","0.0%","1.99","8.15","3.21","1.35","0.14","27.0%","12.72","0.16","1.54","23.0%","3.1","52.2","55.4","11.7","199.1","225.4","13.3"
"99","Josh Palmer","LAC","WR","16","1","4","0","8","1","0","556","99","72","769","3","255","90","7","7","73","773","3","8","98","4.00","8.00","1.00","0.0%","1.38","7.77","3.54","1.25","0.10","9.7%","10.59","0.11","1.34","9.6%","0.3","48.1","48.3","10.6","169.3","174.6","10.9"
"100","Tyler Higbee","LA","TE","17","0","0","0","-","0","0","395","102","72","620","3","418","140","8","4","72","620","3","8","140","-","-","0.00","0.0%","1.57","6.08","5.81","1.94","0.11","5.6%","8.61","0.11","1.94","5.6%","0.0","36.5","36.5","8.9","152.0","170.7","10.0"
"101","Drake London","ATL","WR","17","0","0","0","-","0","0","393","115","72","866","4","233","96","6","10","72","866","4","6","96","-","-","0.00","0.0%","2.20","7.53","3.24","1.33","0.08","13.9%","12.03","0.08","1.33","13.9%","0.0","50.9","50.9","10.7","181.6","222.2","13.1"
"102","Chris Olave","NO","WR","15","0","0","0","-","0","0","419","112","72","1042","4","216","92","7","13","72","1042","4","7","92","-","-","0.00","0.0%","2.49","9.30","3.00","1.28","0.10","18.1%","14.47","0.10","1.28","18.1%","0.0","69.5","69.5","13.3","200.2","209.5","14.0"
"103","Adam Thielen","MIN","WR","17","1","4","0","2","0","0","614","103","70","716","6","157","53","2","7","71","720","6","2","55","4.00","2.00","0.00","0.0%","1.17","6.95","2.24","0.76","0.03","10.0%","10.14","0.03","0.77","9.9%","0.2","42.1","42.4","10.6","180.0","199.3","11.7"
"104","Jerry Jeudy","DEN","WR","15","4","40","0","24","2","0","428","98","67","972","6","399","137","9","14","71","1012","6","11","161","10.00","6.00","0.50","0.0%","2.27","9.92","5.96","2.04","0.13","20.9%","14.25","0.15","2.27","19.7%","2.7","64.8","67.5","13.6","204.2","190.0","12.7"
"105","Jakobi Meyers","NE","WR","14","2","-11","0","12","0","0","378","96","67","804","6","251","66","3","14","70","793","6","3","78","-5.50","6.00","0.00","0.0%","2.13","8.38","3.75","0.99","0.04","20.9%","11.33","0.04","1.11","20.0%","-0.8","57.4","56.6","13.0","182.3","184.8","13.2"
"106","Marquise Brown","ARZ","WR","12","1","1","0","2","0","0","442","104","67","709","3","250","84","4","9","68","710","3","4","86","1.00","2.00","0.00","0.0%","1.60","6.82","3.73","1.25","0.06","13.4%","10.44","0.06","1.26","13.2%","0.1","59.1","59.2","13.0","156.0","199.1","16.6"
"107","Parris Campbell","IND","WR","17","5","58","0","21","3","2","569","86","63","623","3","302","119","11","7","68","681","3","14","140","11.60","4.20","0.60","40.0%","1.09","7.24","4.79","1.89","0.17","11.1%","10.01","0.21","2.06","13.2%","3.4","36.6","40.1","8.8","149.1","149.6","8.8"
"108","Keenan Allen","LAC","WR","10","1","8","0","2","0","0","327","86","66","752","4","273","85","3","7","67","760","4","3","87","8.00","2.00","0.00","0.0%","2.30","8.74","4.14","1.29","0.05","10.6%","11.34","0.04","1.30","10.4%","0.8","75.2","76.0","16.5","165.0","151.2","15.1"
"109","Jamycal Hasty","JAX","RB","16","46","194","2","93","6","1","105","26","20","126","1","140","44","6","2","66","320","3","12","137","4.22","2.02","0.13","2.2%","1.20","4.85","7.00","2.20","0.30","10.0%","4.85","0.18","2.08","4.5%","12.1","7.9","20.0","4.4","70.0","69.4","4.3"
"110","Courtland Sutton","DEN","WR","15","1","5","0","2","0","0","499","107","64","829","2","135","63","3","11","65","834","2","3","65","5.00","2.00","0.00","0.0%","1.66","7.75","2.11","0.98","0.05","17.2%","12.83","0.05","1.00","16.9%","0.3","55.3","55.6","10.6","159.4","219.8","14.7"
"111","DeAndre Hopkins","ARZ","WR","9","0","0","0","-","0","0","327","92","64","717","3","180","80","6","8","64","717","3","6","80","-","-","0.00","0.0%","2.19","7.79","2.81","1.25","0.09","12.5%","11.20","0.09","1.25","12.5%","0.0","79.7","79.7","17.0","152.7","155.3","17.3"
"112","Mike Williams","LAC","WR","13","0","0","0","-","0","0","432","91","63","895","4","335","91","6","11","63","895","4","6","91","-","-","0.00","0.0%","2.07","9.84","5.32","1.44","0.10","17.5%","14.21","0.10","1.44","17.5%","0.0","68.8","68.8","13.6","176.5","158.7","12.2"
"113","K.J. Osborn","MIN","WR","17","3","6","0","11","2","0","537","86","60","650","5","309","138","7","6","63","656","5","9","149","2.00","3.67","0.67","0.0%","1.21","7.56","5.15","2.30","0.12","10.0%","10.41","0.14","2.37","9.5%","0.4","38.2","38.6","9.2","155.6","160.7","9.5"
"114","Rex Burkhead","HST","RB","16","26","80","0","67","2","0","182","48","37","204","1","225","43","2","0","63","284","1","4","110","3.08","2.58","0.08","0.0%","1.12","4.25","6.08","1.16","0.05","0.0%","4.51","0.06","1.75","0.0%","5.0","12.8","17.8","4.5","71.4","96.3","6.0"
"115","Pat Freiermuth","PIT","TE","16","0","0","0","-","0","0","414","95","63","732","2","289","178","9","9","63","732","2","9","178","-","-","0.00","0.0%","1.77","7.71","4.59","2.83","0.14","14.3%","11.62","0.14","2.83","14.3%","0.0","45.8","45.8","9.3","148.2","162.1","10.1"
